2017/09/20 20:37:58 loading corpus...
2017/09/20 20:37:59 loaded 264 programs (3328 total, 0 deleted)
2017/09/20 21:41:39 executed programs: 4646821, crashes: 0
2017/09/20 21:41:49 executed programs: 4654318, crashes: 0
2017/09/20 21:41:59 executed programs: 4668680, crashes: 0
2017/09/20 21:42:09 executed programs: 4675999, crashes: 0
2017/09/20 21:42:19 executed programs: 4690608, crashes: 0
2017/09/20 21:42:29 executed programs: 4705292, crashes: 0
2017/09/20 21:42:39 executed programs: 4720028, crashes: 0
2017/09/20 21:42:49 executed programs: 4727159, crashes: 0
2017/09/20 21:42:59 executed programs: 4741539, crashes: 0
2017/09/20 21:43:09 executed programs: 4748975, crashes: 0
2017/09/20 21:43:19 executed programs: 4763270, crashes: 0
2017/09/20 21:43:29 executed programs: 4777501, crashes: 0
2017/09/20 21:43:39 executed programs: 4791921, crashes: 0
2017/09/20 21:43:49 executed programs: 4799268, crashes: 0
2017/09/20 21:43:59 executed programs: 4813683, crashes: 0
2017/09/20 21:44:09 executed programs: 4820968, crashes: 0
2017/09/20 21:44:19 executed programs: 4835634, crashes: 0
2017/09/20 21:44:29 executed programs: 4850113, crashes: 0
2017/09/20 21:44:39 executed programs: 4864460, crashes: 0
2017/09/20 21:44:49 executed programs: 4871765, crashes: 0
2017/09/20 21:44:59 executed programs: 4886139, crashes: 0
2017/09/20 21:45:09 executed programs: 4893511, crashes: 0
2017/09/20 21:45:19 executed programs: 4907988, crashes: 0
2017/09/20 21:45:29 executed programs: 4922320, crashes: 0
2017/09/20 21:45:39 executed programs: 4936930, crashes: 0
2017/09/20 21:45:49 executed programs: 4944104, crashes: 0
2017/09/20 21:45:59 executed programs: 4959081, crashes: 0
2017/09/20 21:46:09 executed programs: 4966295, crashes: 0
2017/09/20 21:46:19 executed programs: 4980593, crashes: 0
2017/09/20 21:46:29 executed programs: 4997813, crashes: 0
2017/09/20 21:46:39 executed programs: 5004953, crashes: 0
2017/09/20 21:46:49 executed programs: 5015640, crashes: 0
2017/09/20 21:46:59 executed programs: 5030361, crashes: 0
2017/09/20 21:47:09 executed programs: 5041154, crashes: 0
2017/09/20 21:47:19 executed programs: 5055556, crashes: 0
2017/09/20 21:47:29 executed programs: 5069700, crashes: 0
2017/09/20 21:47:39 executed programs: 5077002, crashes: 0
2017/09/20 21:47:49 executed programs: 5087680, crashes: 0
2017/09/20 21:47:59 executed programs: 5101975, crashes: 0
2017/09/20 21:48:09 executed programs: 5112739, crashes: 0
2017/09/20 21:48:19 executed programs: 5126956, crashes: 0
2017/09/20 21:48:29 executed programs: 5141307, crashes: 0
2017/09/20 21:48:39 executed programs: 5148472, crashes: 0
2017/09/20 21:48:49 executed programs: 5159641, crashes: 0
2017/09/20 21:48:59 executed programs: 5174197, crashes: 0
2017/09/20 21:49:09 executed programs: 5185109, crashes: 0
2017/09/20 21:49:19 executed programs: 5199518, crashes: 0
2017/09/20 21:49:29 executed programs: 5213795, crashes: 0
2017/09/20 21:49:39 executed programs: 5220988, crashes: 0
2017/09/20 21:49:49 executed programs: 5231870, crashes: 0
2017/09/20 21:49:59 executed programs: 5246006, crashes: 0
2017/09/20 21:50:09 executed programs: 5256427, crashes: 0
2017/09/20 21:50:19 executed programs: 5270454, crashes: 0
2017/09/20 21:50:29 executed programs: 5284703, crashes: 0
2017/09/20 21:50:39 executed programs: 5291990, crashes: 0
2017/09/20 21:50:49 executed programs: 5302504, crashes: 0
2017/09/20 21:50:59 executed programs: 5316810, crashes: 0
2017/09/20 21:51:09 executed programs: 5327388, crashes: 0
2017/09/20 21:51:19 executed programs: 5341893, crashes: 0
2017/09/20 21:51:29 executed programs: 5356276, crashes: 0
2017/09/20 21:51:39 executed programs: 5363610, crashes: 0
2017/09/20 21:51:49 executed programs: 5374468, crashes: 0
2017/09/20 21:51:59 executed programs: 5388906, crashes: 0
2017/09/20 21:52:09 executed programs: 5399567, crashes: 0
2017/09/20 21:52:19 executed programs: 5414001, crashes: 0
2017/09/20 21:52:29 executed programs: 5428364, crashes: 0
2017/09/20 21:52:39 executed programs: 5435429, crashes: 0
2017/09/20 21:52:49 executed programs: 5446517, crashes: 0
2017/09/20 21:52:59 executed programs: 5460604, crashes: 0
